GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lodgify,es.deusto.spq.pojo,UserData,0,34,0,0,0,9,0,6,0,6
Lodgify,es.deusto.spq.pojo,DirectMessage,0,17,0,0,0,8,0,5,0,5
Lodgify,es.deusto.spq.pojo,MessageData,0,10,0,0,0,5,0,3,0,3
Lodgify,es.deusto.spq.server.jdo,Residence,349,636,75,75,0,30,66,83,10,55
Lodgify,es.deusto.spq.server.jdo,Booking,705,223,126,11,0,26,106,31,30,31
Lodgify,es.deusto.spq.server.jdo,User,999,371,192,23,0,55,154,56,30,56
Lodgify,es.deusto.spq.server.jdo,Message,500,100,88,4,0,10,81,13,32,13
Lodgify,es.deusto.spq.client,LodgifyClient,33,212,3,5,7,40,3,8,0,7
Lodgify,es.deusto.spq.server,ResidenceService,184,289,20,24,47,71,16,13,1,6
Lodgify,es.deusto.spq.server,UserService,78,376,17,17,16,85,17,6,0,6
Lodgify,es.deusto.spq.server,BookingService,332,74,29,1,85,22,19,4,4,4
Lodgify,es.deusto.spq.server.helper,Hashing,3,10,0,0,1,3,1,1,1,1
